name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/64_mean",20,112.303,112.292,ns,5.70165e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/64_median",20,112.995,112.986,ns,5.66443e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/64_stddev",20,2.23926,2.23864,ns,1.16723e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/512_mean",20,135.177,135.164,ns,3.78812e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/512_median",20,135.676,135.664,ns,3.77404e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/512_stddev",20,0.830882,0.830928,ns,2.32921e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/4096_mean",20,332.514,332.484,ns,1.2343e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/4096_median",20,325.423,325.392,ns,1.25879e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/4096_stddev",20,15.435,15.4343,ns,5.36449e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32768_mean",20,2145.93,2145.73,ns,1.52818e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32768_median",20,2132.93,2132.72,ns,1.53644e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32768_stddev",20,60.9083,60.9009,ns,3.89399e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/262144_mean",20,14787.5,14786.1,ns,1.78053e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/262144_median",20,14189.8,14188.3,ns,1.84761e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/262144_stddev",20,1020.53,1020.43,ns,1.16247e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/2097152_mean",20,130849,130834,ns,1.60298e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/2097152_median",20,130823,130807,ns,1.60324e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/2097152_stddev",20,868.687,867.913,ns,1.06151e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/16777216_mean",20,1.04654e+06,1.04615e+06,ns,1.60619e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/16777216_median",20,1.02594e+06,1.02555e+06,ns,1.63592e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/16777216_stddev",20,42856.5,42804.3,ns,6.37586e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/67108864_mean",20,5.19901e+06,5.19606e+06,ns,1.2916e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/67108864_median",20,5.19049e+06,5.18767e+06,ns,1.29363e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/67108864_stddev",20,38339.1,38189,ns,9.49368e+07,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32_mean",20,0.9654,0.965287,ns,3.33278e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32_median",20,0.944867,0.944787,ns,3.38701e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32_stddev",20,0.0836338,0.0836364,ns,2.15223e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/64_mean",20,0.964311,0.964173,ns,6.67365e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/64_median",20,0.94237,0.942225,ns,6.79243e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/64_stddev",20,0.0840401,0.0840369,ns,4.33025e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/512_mean",20,4.26975,4.2692,ns,1.20374e+11,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/512_median",20,4.16664,4.16609,ns,1.22897e+11,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/512_stddev",20,0.287147,0.287085,ns,6.97368e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/4096_mean",20,29.8819,29.8781,ns,1.37091e+11,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/4096_median",20,29.8782,29.8737,ns,1.37111e+11,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/4096_stddev",20,0.0835169,0.0835329,ns,3.83037e+08,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32768_mean",20,682.682,682.619,ns,4.80036e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32768_median",20,682.638,682.572,ns,4.80067e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32768_stddev",20,1.40879,1.40389,ns,9.85361e+07,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/262144_mean",20,5768.22,5767.59,ns,4.54513e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/262144_median",20,5768.95,5768.31,ns,4.54456e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/262144_stddev",20,9.97348,9.82298,ns,7.73925e+07,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/2097152_mean",20,50948.6,50942.5,ns,4.11696e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/2097152_median",20,50918.7,50912.5,ns,4.11914e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/2097152_stddev",20,417.835,417.28,ns,3.38514e+08,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/16777216_mean",20,2.11208e+06,2.11078e+06,ns,7.94872e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/16777216_median",20,2.11784e+06,2.11655e+06,ns,7.92669e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/16777216_stddev",20,14386.8,14376.8,ns,5.43109e+07,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/67108864_mean",20,8.81116e+06,8.80565e+06,ns,7.62141e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/67108864_median",20,8.83941e+06,8.83406e+06,ns,7.59661e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/67108864_stddev",20,55836.6,55939.9,ns,4.8654e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/32_mean",20,113.343,113.332,ns,2.82612e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/32_median",20,112.22,112.209,ns,2.85197e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/32_stddev",20,3.54487,3.54514,ns,8.61547e+06,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/64_mean",20,117.067,117.056,ns,5.4702e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/64_median",20,118.304,118.292,ns,5.41037e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/64_stddev",20,2.64784,2.6477,ns,1.26789e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/512_mean",20,134.822,134.81,ns,3.79823e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/512_median",20,134.611,134.598,ns,3.80392e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/512_stddev",20,1.20036,1.20003,ns,3.37558e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/4096_mean",20,323.586,323.556,ns,1.26595e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/4096_median",20,323.624,323.589,ns,1.2658e+10,,,,
