name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/4096_median",20,184.053,184.051,ns,2.22548e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/4096_stddev",20,2.5171,2.51735,ns,3.06973e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32768_mean",20,1363.43,1363.42,ns,2.40554e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32768_median",20,1358.39,1358.39,ns,2.41229e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32768_stddev",20,42.4699,42.4665,ns,7.36502e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/262144_mean",20,12949.9,12949.8,ns,2.02527e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/262144_median",20,12969.3,12969.1,ns,2.02131e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/262144_stddev",20,291.27,291.298,ns,4.49213e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/2097152_mean",20,140928,140926,ns,1.49009e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/2097152_median",20,140281,140278,ns,1.495e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/2097152_stddev",20,5287.31,5287.33,ns,5.52243e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/8388608_mean",20,929203,929186,ns,9.03121e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/8388608_median",20,926304,926286,ns,9.05619e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/8388608_stddev",20,18298.4,18297.2,ns,1.76704e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32_mean",20,48.15,48.1496,ns,6.64693e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32_median",20,48.3169,48.3166,ns,6.62298e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32_stddev",20,0.595422,0.595494,ns,8.32121e+06,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/64_mean",20,51.4002,51.3998,ns,1.24575e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/64_median",20,51.7731,51.7728,ns,1.23617e+09,,,,
